"","0","1","2","3","4"
"0","","Inzidenzstufe 0 
(höchstens 10)","Inzidenzstufe 1 
(von 10,1 bis 35)","Inzidenzstufe 2 
(von 35,1 bis 50)","Inzidenzstufe 3 
(über 50)"
"1","Städteregion Aachen","","X","",""
"2","Bielefeld","X","","",""
"3","Bochum","X","X (ab 27.07.)","",""
"4","Bonn","X","","",""
"5","Borken","","X","",""
"6","Bottrop","X","","",""
"7","Coesfeld","X","","",""
"8","Dortmund","X","","",""
"9","Duisburg","X","","",""
"10","Düren","","X","",""
"11","Düsseldorf","","X","X ( voraussichtlich ab 
27.07.)",""
"12","Ennepe-Ruhr-Kreis","X","","",""
"13","Essen","X","","",""
"14","Euskirchen","X","","",""
"15","Gelsenkirchen","X","","",""
"16","Gütersloh","X","","",""
"17","Hagen","X","X ( ab 27.07.)","",""
"18","Hamm","","X","",""
"19","Heinsberg","X","","",""
"20","Herford","X","","",""
"21","Herne","X","","",""
"22","Hochsauerlandkreis","X","","",""
"23","Höxter","","X","",""
"24","Kleve","","X","",""
"25","Köln","","X","",""
"26","Krefeld","","X","",""
"27","Leverkusen","","X","",""
"28","Lippe","X","","",""
"29","Märkischer Kreis","X","","",""
"30","Mettmann","X","X ( ab 27.07.)","",""
"31","Minden-Lübbecke","","X","",""
"32","Mönchengladbach","X","","",""
"33","Mülheim an der Ruhr","X","","",""
"34","Münster","","X","",""
"35","Oberbergischer Kreis","","X","",""
"36","Oberhausen","","X","",""
"37","Olpe","X","","",""
"38","Paderborn","X","","",""
"39","Recklinghausen","X","X ( ab 27.07.)","",""
"40","Remscheid","X","","",""
"0","Rhein-Erft-Kreis","X","","",""
"1","Rheinisch-Bergischer Kreis","X","","",""
"2","Rhein-Kreis Neuss","","X","",""
"3","Rhein-Sieg-Kreis","X","","",""
"4","Siegen-Wittgenstein","X","","",""
"5","Soest","X","","",""
"6","Solingen","","","X",""
"7","Steinfurt","X","","",""
"8","Unna","X","","",""
"9","Viersen","X","","",""
"10","Warendorf","X","","",""
"11","Wesel","X","X (ab 28.07)","",""
"12","Wuppertal","X","","",""
"13","gesamt (tagesaktuell)","37","15","1","0"
