"date","subregion","Inzidenzstufe 0 (höchstens 10)","Inzidenzstufe 1 (von 10,1 bis 35)","Inzidenzstufe 2 (von 35,1 bis 50)","Inzidenzstufe 3 (über 50)"
"2021-07-24","Städteregion Aachen","0","1","0","0"
"2021-07-24","Bielefeld","1","0","0","0"
"2021-07-24","Bochum","1","0","0","0"
"2021-07-24","Bonn","1","0","0","0"
"2021-07-24","Borken","0","1","0","0"
"2021-07-24","Bottrop","1","0","0","0"
"2021-07-24","Coesfeld","1","0","0","0"
"2021-07-24","Dortmund","1","0","0","0"
"2021-07-24","Duisburg","1","0","0","0"
"2021-07-24","Düren","0","1","0","0"
"2021-07-24","Düsseldorf","0","1","0","0"
"2021-07-24","Ennepe-Ruhr-Kreis","1","0","0","0"
"2021-07-24","Essen","1","0","0","0"
"2021-07-24","Euskirchen","1","0","0","0"
"2021-07-24","Gelsenkirchen","1","0","0","0"
"2021-07-24","Gütersloh","1","0","0","0"
"2021-07-24","Hagen","1","0","0","0"
"2021-07-24","Hamm","0","1","0","0"
"2021-07-24","Heinsberg","1","0","0","0"
"2021-07-24","Herford","1","0","0","0"
"2021-07-24","Herne","1","0","0","0"
"2021-07-24","Hochsauerlandkreis","1","0","0","0"
"2021-07-24","Höxter","1","0","0","0"
"2021-07-24","Kleve","1","0","0","0"
"2021-07-24","Köln","0","1","0","0"
"2021-07-24","Krefeld","0","1","0","0"
"2021-07-24","Leverkusen","0","1","0","0"
"2021-07-24","Lippe","1","0","0","0"
"2021-07-24","Märkischer Kreis","1","0","0","0"
"2021-07-24","Mettmann","1","0","0","0"
"2021-07-24","Minden-Lübbecke","0","1","0","0"
"2021-07-24","Mönchengladbach","1","0","0","0"
"2021-07-24","Mülheim an der Ruhr","1","0","0","0"
"2021-07-24","Münster","0","1","0","0"
"2021-07-24","Oberbergischer Kreis","0","1","0","0"
"2021-07-24","Oberhausen","0","1","0","0"
"2021-07-24","Olpe","1","0","0","0"
"2021-07-24","Paderborn","1","0","0","0"
"2021-07-24","Recklinghausen","1","0","0","0"
"2021-07-24","Remscheid","1","0","0","0"
"2021-07-24","Rhein-Erft-Kreis","1","0","0","0"
"2021-07-24","Rheinisch-Bergischer Kreis","1","0","0","0"
"2021-07-24","Rhein-Kreis Neuss","0","1","0","0"
"2021-07-24","Rhein-Sieg-Kreis","1","0","0","0"
"2021-07-24","Siegen-Wittgenstein","1","0","0","0"
"2021-07-24","Soest","1","0","0","0"
"2021-07-24","Solingen","0","1","0","0"
"2021-07-24","Steinfurt","1","0","0","0"
"2021-07-24","Unna","1","0","0","0"
"2021-07-24","Viersen","1","0","0","0"
"2021-07-24","Warendorf","1","0","0","0"
"2021-07-24","Wesel","1","0","0","0"
"2021-07-24","Wuppertal","1","0","0","0"
"2021-07-26","Städteregion Aachen","0","1","0","0"
"2021-07-26","Bielefeld","1","0","0","0"
"2021-07-26","Bochum","1","0","0","0"
"2021-07-26","Bonn","1","0","0","0"
"2021-07-26","Borken","0","1","0","0"
"2021-07-26","Bottrop","1","0","0","0"
"2021-07-26","Coesfeld","1","0","0","0"
"2021-07-26","Dortmund","1","0","0","0"
"2021-07-26","Duisburg","1","0","0","0"
"2021-07-26","Düren","0","1","0","0"
"2021-07-26","Düsseldorf","0","1","0","0"
"2021-07-26","Ennepe-Ruhr-Kreis","1","0","0","0"
"2021-07-26","Essen","1","0","0","0"
"2021-07-26","Euskirchen","1","0","0","0"
"2021-07-26","Gelsenkirchen","1","0","0","0"
"2021-07-26","Gütersloh","1","0","0","0"
"2021-07-26","Hagen","1","0","0","0"
"2021-07-26","Hamm","0","1","0","0"
"2021-07-26","Heinsberg","1","0","0","0"
"2021-07-26","Herford","1","0","0","0"
"2021-07-26","Herne","1","0","0","0"
"2021-07-26","Hochsauerlandkreis","1","0","0","0"
"2021-07-26","Höxter","0","1","0","0"
"2021-07-26","Kleve","0","1","0","0"
"2021-07-26","Köln","0","1","0","0"
"2021-07-26","Krefeld","0","1","0","0"
"2021-07-26","Leverkusen","0","1","0","0"
"2021-07-26","Lippe","1","0","0","0"
"2021-07-26","Märkischer Kreis","1","0","0","0"
"2021-07-26","Mettmann","1","0","0","0"
"2021-07-26","Minden-Lübbecke","0","1","0","0"
"2021-07-26","Mönchengladbach","1","0","0","0"
"2021-07-26","Mülheim an der Ruhr","1","0","0","0"
"2021-07-26","Münster","0","1","0","0"
"2021-07-26","Oberbergischer Kreis","0","1","0","0"
"2021-07-26","Oberhausen","0","1","0","0"
"2021-07-26","Olpe","1","0","0","0"
"2021-07-26","Paderborn","1","0","0","0"
"2021-07-26","Recklinghausen","1","0","0","0"
"2021-07-26","Remscheid","1","0","0","0"
"2021-07-26","Rhein-Erft-Kreis","1","0","0","0"
"2021-07-26","Rheinisch-Bergischer Kreis","1","0","0","0"
"2021-07-26","Rhein-Kreis Neuss","0","1","0","0"
"2021-07-26","Rhein-Sieg-Kreis","1","0","0","0"
"2021-07-26","Siegen-Wittgenstein","1","0","0","0"
"2021-07-26","Soest","1","0","0","0"
"2021-07-26","Solingen","0","0","1","0"
"2021-07-26","Steinfurt","1","0","0","0"
"2021-07-26","Unna","1","0","0","0"
"2021-07-26","Viersen","1","0","0","0"
"2021-07-26","Warendorf","1","0","0","0"
"2021-07-26","Wesel","1","0","0","0"
"2021-07-26","Wuppertal","1","0","0","0"
"2021-07-27","Städteregion Aachen","0","1","0","0"
"2021-07-27","Bielefeld","1","0","0","0"
"2021-07-27","Bochum","0","1","0","0"
"2021-07-27","Bonn","1","0","0","0"
"2021-07-27","Borken","0","1","0","0"
"2021-07-27","Bottrop","1","0","0","0"
"2021-07-27","Coesfeld","1","0","0","0"
"2021-07-27","Dortmund","1","0","0","0"
"2021-07-27","Duisburg","1","0","0","0"
"2021-07-27","Düren","0","1","0","0"
"2021-07-27","Düsseldorf","0","0","1","0"
"2021-07-27","Ennepe-Ruhr-Kreis","1","0","0","0"
"2021-07-27","Essen","1","0","0","0"
"2021-07-27","Euskirchen","1","0","0","0"
"2021-07-27","Gelsenkirchen","1","0","0","0"
"2021-07-27","Gütersloh","1","0","0","0"
"2021-07-27","Hagen","0","1","0","0"
"2021-07-27","Hamm","0","1","0","0"
"2021-07-27","Heinsberg","1","0","0","0"
"2021-07-27","Herford","1","0","0","0"
"2021-07-27","Herne","1","0","0","0"
"2021-07-27","Hochsauerlandkreis","1","0","0","0"
"2021-07-27","Höxter","0","1","0","0"
"2021-07-27","Kleve","0","1","0","0"
"2021-07-27","Köln","0","1","0","0"
"2021-07-27","Krefeld","0","1","0","0"
"2021-07-27","Leverkusen","0","1","0","0"
"2021-07-27","Lippe","1","0","0","0"
"2021-07-27","Märkischer Kreis","1","0","0","0"
"2021-07-27","Mettmann","0","1","0","0"
"2021-07-27","Minden-Lübbecke","0","1","0","0"
"2021-07-27","Mönchengladbach","1","0","0","0"
"2021-07-27","Mülheim an der Ruhr","1","0","0","0"
"2021-07-27","Münster","0","1","0","0"
"2021-07-27","Oberbergischer Kreis","0","1","0","0"
"2021-07-27","Oberhausen","0","1","0","0"
"2021-07-27","Olpe","1","0","0","0"
"2021-07-27","Paderborn","1","0","0","0"
"2021-07-27","Recklinghausen","0","1","0","0"
"2021-07-27","Remscheid","1","0","0","0"
"2021-07-27","Rhein-Erft-Kreis","1","0","0","0"
"2021-07-27","Rheinisch-Bergischer Kreis","1","0","0","0"
"2021-07-27","Rhein-Kreis Neuss","0","1","0","0"
"2021-07-27","Rhein-Sieg-Kreis","1","0","0","0"
"2021-07-27","Siegen-Wittgenstein","1","0","0","0"
"2021-07-27","Soest","1","0","0","0"
"2021-07-27","Solingen","0","0","1","0"
"2021-07-27","Steinfurt","1","0","0","0"
"2021-07-27","Unna","1","0","0","0"
"2021-07-27","Viersen","1","0","0","0"
"2021-07-27","Warendorf","1","0","0","0"
"2021-07-27","Wesel","1","0","0","0"
"2021-07-27","Wuppertal","1","0","0","0"
"2021-07-28","Städteregion Aachen","0","1","0","0"
"2021-07-28","Bielefeld","1","0","0","0"
"2021-07-28","Bochum","0","1","0","0"
"2021-07-28","Bonn","1","0","0","0"
"2021-07-28","Borken","0","1","0","0"
"2021-07-28","Bottrop","1","0","0","0"
"2021-07-28","Coesfeld","1","0","0","0"
"2021-07-28","Dortmund","1","0","0","0"
"2021-07-28","Duisburg","1","0","0","0"
"2021-07-28","Düren","0","1","0","0"
"2021-07-28","Düsseldorf","0","0","1","0"
"2021-07-28","Ennepe-Ruhr-Kreis","1","0","0","0"
"2021-07-28","Essen","1","0","0","0"
"2021-07-28","Euskirchen","1","0","0","0"
"2021-07-28","Gelsenkirchen","1","0","0","0"
"2021-07-28","Gütersloh","1","0","0","0"
"2021-07-28","Hagen","0","1","0","0"
"2021-07-28","Hamm","0","1","0","0"
"2021-07-28","Heinsberg","1","0","0","0"
"2021-07-28","Herford","1","0","0","0"
"2021-07-28","Herne","1","0","0","0"
"2021-07-28","Hochsauerlandkreis","1","0","0","0"
"2021-07-28","Höxter","0","1","0","0"
"2021-07-28","Kleve","0","1","0","0"
"2021-07-28","Köln","0","1","0","0"
"2021-07-28","Krefeld","0","1","0","0"
"2021-07-28","Leverkusen","0","1","0","0"
"2021-07-28","Lippe","1","0","0","0"
"2021-07-28","Märkischer Kreis","1","0","0","0"
"2021-07-28","Mettmann","0","1","0","0"
"2021-07-28","Minden-Lübbecke","0","1","0","0"
"2021-07-28","Mönchengladbach","1","0","0","0"
"2021-07-28","Mülheim an der Ruhr","1","0","0","0"
"2021-07-28","Münster","0","1","0","0"
"2021-07-28","Oberbergischer Kreis","0","1","0","0"
"2021-07-28","Oberhausen","0","1","0","0"
"2021-07-28","Olpe","1","0","0","0"
"2021-07-28","Paderborn","1","0","0","0"
"2021-07-28","Recklinghausen","0","1","0","0"
"2021-07-28","Remscheid","1","0","0","0"
"2021-07-28","Rhein-Erft-Kreis","1","0","0","0"
"2021-07-28","Rheinisch-Bergischer Kreis","1","0","0","0"
"2021-07-28","Rhein-Kreis Neuss","0","1","0","0"
"2021-07-28","Rhein-Sieg-Kreis","1","0","0","0"
