"date","subregion","stage"
"2021-07-24","Bielefeld","0"
"2021-07-24","Bochum","0"
"2021-07-24","Bonn","0"
"2021-07-24","Bottrop","0"
"2021-07-24","Coesfeld","0"
"2021-07-24","Dortmund","0"
"2021-07-24","Duisburg","0"
"2021-07-24","Ennepe-Ruhr-Kreis","0"
"2021-07-24","Essen","0"
"2021-07-24","Euskirchen","0"
"2021-07-24","Gelsenkirchen","0"
"2021-07-24","Gütersloh","0"
"2021-07-24","Hagen","0"
"2021-07-24","Heinsberg","0"
"2021-07-24","Herford","0"
"2021-07-24","Herne","0"
"2021-07-24","Hochsauerlandkreis","0"
"2021-07-24","Höxter","0"
"2021-07-24","Kleve","0"
"2021-07-24","Lippe","0"
"2021-07-24","Märkischer Kreis","0"
"2021-07-24","Mettmann","0"
"2021-07-24","Mönchengladbach","0"
"2021-07-24","Mülheim an der Ruhr","0"
"2021-07-24","Olpe","0"
"2021-07-24","Paderborn","0"
"2021-07-24","Recklinghausen","0"
"2021-07-24","Remscheid","0"
"2021-07-24","Rhein-Erft-Kreis","0"
"2021-07-24","Rheinisch-Bergischer Kreis","0"
"2021-07-24","Rhein-Sieg-Kreis","0"
"2021-07-24","Siegen-Wittgenstein","0"
"2021-07-24","Soest","0"
"2021-07-24","Steinfurt","0"
"2021-07-24","Unna","0"
"2021-07-24","Viersen","0"
"2021-07-24","Warendorf","0"
"2021-07-24","Wesel","0"
"2021-07-24","Wuppertal","0"
"2021-07-26","Bielefeld","0"
"2021-07-26","Bochum","0"
"2021-07-26","Bonn","0"
"2021-07-26","Bottrop","0"
"2021-07-26","Coesfeld","0"
"2021-07-26","Dortmund","0"
"2021-07-26","Duisburg","0"
"2021-07-26","Ennepe-Ruhr-Kreis","0"
"2021-07-26","Essen","0"
"2021-07-26","Euskirchen","0"
"2021-07-26","Gelsenkirchen","0"
"2021-07-26","Gütersloh","0"
"2021-07-26","Hagen","0"
"2021-07-26","Heinsberg","0"
"2021-07-26","Herford","0"
"2021-07-26","Herne","0"
"2021-07-26","Hochsauerlandkreis","0"
"2021-07-26","Lippe","0"
"2021-07-26","Märkischer Kreis","0"
"2021-07-26","Mettmann","0"
"2021-07-26","Mönchengladbach","0"
"2021-07-26","Mülheim an der Ruhr","0"
"2021-07-26","Olpe","0"
"2021-07-26","Paderborn","0"
"2021-07-26","Recklinghausen","0"
"2021-07-26","Remscheid","0"
"2021-07-26","Rhein-Erft-Kreis","0"
"2021-07-26","Rheinisch-Bergischer Kreis","0"
"2021-07-26","Rhein-Sieg-Kreis","0"
"2021-07-26","Siegen-Wittgenstein","0"
"2021-07-26","Soest","0"
"2021-07-26","Steinfurt","0"
"2021-07-26","Unna","0"
"2021-07-26","Viersen","0"
"2021-07-26","Warendorf","0"
"2021-07-26","Wesel","0"
"2021-07-26","Wuppertal","0"
"2021-07-27","Bielefeld","0"
"2021-07-27","Bonn","0"
"2021-07-27","Bottrop","0"
"2021-07-27","Coesfeld","0"
"2021-07-27","Dortmund","0"
"2021-07-27","Duisburg","0"
"2021-07-27","Ennepe-Ruhr-Kreis","0"
"2021-07-27","Essen","0"
"2021-07-27","Euskirchen","0"
"2021-07-27","Gelsenkirchen","0"
"2021-07-27","Gütersloh","0"
"2021-07-27","Heinsberg","0"
"2021-07-27","Herford","0"
"2021-07-27","Herne","0"
"2021-07-27","Hochsauerlandkreis","0"
"2021-07-27","Lippe","0"
"2021-07-27","Märkischer Kreis","0"
"2021-07-27","Mönchengladbach","0"
"2021-07-27","Mülheim an der Ruhr","0"
"2021-07-27","Olpe","0"
"2021-07-27","Paderborn","0"
"2021-07-27","Remscheid","0"
"2021-07-27","Rhein-Erft-Kreis","0"
"2021-07-27","Rheinisch-Bergischer Kreis","0"
"2021-07-27","Rhein-Sieg-Kreis","0"
"2021-07-27","Siegen-Wittgenstein","0"
"2021-07-27","Soest","0"
"2021-07-27","Steinfurt","0"
"2021-07-27","Unna","0"
"2021-07-27","Viersen","0"
